sensor_noise_0,sensor_0,sensor_noise_1,sensor_1,sensor_noise_2,sensor_2,sensor_noise_3,sensor_3,sensor_noise_4,sensor_4,sensor_noise_5,sensor_5,sensor_noise_6,sensor_6,sensor_noise_7,sensor_7,original_signal
-1.4415127200412e-05,-1.4391892213136295e-05,-1.61513301727855e-05,-1.6128095185509796e-05,-1.28538263357412e-05,-1.2830591348465496e-05,-5.93767030148734e-06,-5.914435314211637e-06,4.13867879849625e-07,4.371028671253284e-07,1.91612178636029e-06,1.9393567736359932e-06,-1.87835615357624e-06,-1.8551211663005368e-06,-8.66218447352729e-06,-8.638949486251586e-06,2.32349872757034e-08
1.75565244389434e-05,1.7588817101153142e-05,1.65802925948866e-05,1.6612585257096343e-05,1.6082174392773e-05,1.6114467054982744e-05,1.64894652152587e-05,1.6521757877468444e-05,1.61920223320908e-05,1.6224314994300543e-05,1.53966822669851e-05,1.542897492919484e-05,1.60741973929476e-05,1.6106490055157344e-05,1.74165039527653e-05,1.744879661497504e-05,3.22926622097443e-08
4.0495428055349e-05,4.053399371760912e-05,4.33397748397824e-05,4.337834050204253e-05,3.94745619501314e-05,3.9513127612391526e-05,3.09097739184517e-05,3.0948339580711826e-05,2.34463231082733e-05,2.3484888770533427e-05,2.17012503039469e-05,2.1739815966207026e-05,2.57580735792529e-05,2.5796639241513027e-05,3.33429364377674e-05,3.338150210002752e-05,3.8565662260126e-08
-1.54193310417173e-05,-1.5378185725285436e-05,-1.53470412164077e-05,-1.5305895899975835e-05,-1.30045571677435e-05,-1.2963411851311638e-05,-1.01639883699224e-05,-1.0122843053490539e-05,-7.96992520715231e-06,-7.928779890720449e-06,-7.50749063366635e-06,-7.466345317234488e-06,-9.6969890786759e-06,-9.655843762244039e-06,-1.31328411554597e-05,-1.3091695839027839e-05,4.11453164318617e-08
3.03694445299564e-06,3.076534525594047e-06,-1.36133195751639e-07,-9.65431231532322e-08,1.13095453539693e-06,1.1705446079953368e-06,7.09924349488979e-06,7.138833567488196e-06,1.30519434808198e-05,1.3091533553418207e-05,1.48557041908597e-05,1.4895294263458107e-05,1.26991210831947e-05,1.2738711155793107e-05,8.01136335660174e-06,8.050953429200147e-06,3.95900725984068e-08
1.6104975334773e-05,1.613896848959255e-05,1.79337785407979e-05,1.796777169561745e-05,1.65308431712351e-05,1.656483632605465e-05,1.26017468436393e-05,1.2635739998458852e-05,8.45414871146632e-06,8.488141866285872e-06,6.88783798494269e-06,6.921831139762241e-06,8.72759163697748e-06,8.761584791797031e-06,1.24537239433418e-05,1.2487717098161351e-05,3.39931548195506e-08
-8.13204313996029e-06,-8.107078082443418e-06,-5.32560885978009e-06,-5.300643802263218e-06,-3.93786142449391e-06,-3.912896366977038e-06,-6.18919445253317e-06,-6.164229395016298e-06,-9.31131063924501e-06,-9.286345581728138e-06,-1.04443608679922e-05,-1.0419395810475327e-05,-1.05066589031639e-05,-1.0481693845647028e-05,-9.90325679583011e-06,-9.878291738313238e-06,2.49650575168718e-08
-6.56328845509615e-06,-6.549745618818583e-06,-9.00280434998199e-06,-8.989261513704422e-06,-7.22023791225881e-06,-7.206695075981244e-06,-1.45843684262051e-06,-1.4448940063429429e-06,4.22853983942042e-06,4.242082675697987e-06,5.6990860635494e-06,5.712628899826967e-06,2.86684820348734e-06,2.880391039764907e-06,-2.03323619858923e-06,-2.019693362311663e-06,1.3542836277567e-08
2.35212425325157e-05,2.352228303420826e-05,2.06601685195242e-05,2.066120902121676e-05,1.90064617633336e-05,1.9007502265026156e-05,1.995221387731e-05,1.9953254379002556e-05,2.2026258657665e-05,2.202729915935756e-05,2.38935542599606e-05,2.3894594761653158e-05,2.54805149775725e-05,2.548155547926506e-05,2.55819010310982e-05,2.558294153279076e-05,1.04050169255785e-09
1.59225383689682e-05,1.5911404923927106e-05,2.08484284202344e-05,2.0837294975193306e-05,2.07539594326495e-05,2.0742825987608408e-05,1.50361129062223e-05,1.5024979461181205e-05,8.1111762142921e-06,8.100042769251005e-06,4.37674062108557e-06,4.365607176044476e-06,4.93268725937293e-06,4.921553814331836e-06,9.54053722622945e-06,9.529403781188355e-06,-1.11334450410939e-08
